"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2025","Jacksonville St.",65.9279,301,64.7336,291,109.716,94,110.077,114,107.922,228,107.609,201,2.46751,138
"2025","James Madison",66.4757,277,65.7849,242,106.157,173,109.177,129,106.724,200,107.367,192,1.80968,146
"2025","Kansas",68.5138,180,67.858,147,110.889,83,117.757,31,93.3293,10,90.3102,4,27.4466,7
"2025","Kansas City",66.1097,289,64.388,310,102.717,240,101.115,273,107.352,218,106.309,167,-5.19418,224
"2025","Kansas St.",67.4405,225,66.6358,210,106.695,163,111.257,91,105.151,171,102.968,105,8.28844,93
"2025","Kennesaw St.",71.8152,34,71.033,27,102.357,245,104.888,207,104.168,144,104.882,138,0.00610298,169
"2025","Kent St.",66.7809,261,64.8505,286,100.94,273,101.147,272,96.0535,25,99.0553,53,2.09122,142
"2025","Kentucky",72.8398,22,70.503,35,119.96,9,124.269,4,103.984,140,101.305,81,22.9646,22
"2025","La Salle",71.8746,33,70.1664,45,102.031,254,103.493,226,104.458,153,104.641,132,-1.14779,183
"2025","Lafayette",66.4013,279,65.7821,244,100.695,278,98.1448,320,105.552,182,109.346,229,-11.2013,296
"2025","Lamar",66.7046,264,65.476,260,102.002,255,101.211,270,103.327,120,104.998,141,-3.78678,213
"2025","Le Moyne",69.6739,113,68.7789,93,99.0212,300,98.2089,319,115.099,342,117.485,351,-19.2758,351
"2025","Lehigh",67.11,244,67.1582,179,100.13,287,101.513,264,108.361,238,110.309,247,-8.79651,268
"2025","Liberty",66.9898,250,64.849,287,111.112,81,109.665,123,95.4645,17,98.4171,50,11.2478,71
"2025","Lindenwood",69.6746,112,68.779,92,94.7189,344,94.3189,354,107.452,219,111.494,273,-17.1748,344
"2025","Lipscomb",68.2026,192,65.5425,255,111.292,75,110.905,101,97.5922,36,100.937,74,9.9684,84
"2025","Little Rock",68.6235,174,66.912,193,97.0123,326,97.5245,330,96.085,26,100.632,72,-3.10708,205
"2025","LIU",66.081,292,65.4984,258,97.577,317,94.5655,353,102.957,117,106.927,179,-12.3618,307
"2025","Long Beach St.",66.0322,296,63.9303,328,98.8586,304,102.349,247,114.41,338,115.082,331,-12.7329,312
"2025","Longwood",69.7487,108,68.2514,122,109.251,106,106.088,184,105.113,169,106.699,173,-0.61072,174
"2025","Louisiana",67.035,246,66.7049,206,97.2357,322,99.4573,303,113.156,325,114.475,323,-15.0178,326
"2025","Louisiana Monroe",68.4467,183,67.6991,156,95.6984,333,95.7325,344,108.44,239,112.366,291,-16.6331,336
"2025","Louisiana Tech",66.5982,270,64.2333,322,108.823,112,110.74,106,104.385,151,106.582,172,4.1585,111
"2025","Louisville",69.2187,137,68.0618,135,113.902,47,119.045,22,100.54,79,97.9579,47,21.0867,25
"2025","Loyola Chicago",68.5341,176,66.8829,195,107.561,141,107.516,160,103.429,122,105.93,159,1.58638,150
"2025","Loyola Marymount",68.1158,199,66.7265,205,100.896,274,104.216,217,104.163,143,102.572,99,1.64458,148
"2025","Loyola MD",67.2611,235,66.4986,216,102.762,237,99.9581,295,108.011,230,113.446,311,-13.4877,316
"2025","LSU",70.4819,74,68.1656,127,110.219,89,110.884,102,97.613,37,98.4969,51,12.3867,67
"2025","Maine",67.4277,227,66.7535,202,103.599,222,101.834,255,101.171,84,104.032,121,-2.1984,196
"2025","Manhattan",67.4342,226,67.7645,154,108.217,127,106.991,168,111.057,294,116.934,348,-9.94284,282
"2025","Marist",64.5055,342,63.791,332,103.984,215,99.6236,300,96.4876,31,103.868,118,-4.2446,217
"2025","Marquette",68.8878,157,67.9555,139,114.471,44,118.529,26,96.7034,32,93.6495,13,24.8798,12
"2025","Marshall",69.2688,134,68.0259,138,106.89,155,106.084,185,104.193,145,106.23,165,-0.14593,170
"2025","Maryland",70.379,79,69.0911,75,117.79,16,119.113,19,93.228,9,95.8713,24,23.2421,20
"2025","Maryland Eastern Shore",68.5297,177,66.7685,201,90.7969,359,97.5974,329,122.36,361,118.73,356,-21.1326,358
"2025","Massachusetts",72.1642,26,71.0927,25,101.801,262,104.429,213,103.63,127,105.911,158,-1.48165,187
"2025","McNeese",66.2237,286,65.1753,271,113.348,53,113.674,65,98.1435,44,99.9115,61,13.763,61
"2025","Memphis",71.1108,51,70.4894,37,109.62,98,113.869,63,101.77,95,96.7298,31,17.1396,42
"2025","Mercer",72.1515,27,71.0757,26,103.056,231,102.537,241,106.945,208,108.305,213,-5.76858,232
"2025","Mercyhurst",63.6411,356,64.0867,327,97.2191,323,96.8632,340,111.508,304,116.353,345,-19.4898,352
"2025","Merrimack",64.6806,339,64.4786,303,100.245,283,100.821,280,99.8794,70,100.974,75,-0.152291,171
"2025","Miami FL",67.6162,220,67.1514,181,110.459,86,114.089,58,117.949,354,116.346,344,-2.25728,197
"2025","Miami OH",70.1449,91,68.5442,106,110.243,88,108.341,138,105.034,168,108.308,214,0.0326622,168
"2025","Michigan",71.2333,48,69.8789,52,115.149,39,120.019,16,98.155,45,96.703,30,23.3158,19
"2025","Michigan St.",70.5238,70,68.3153,118,115.243,37,119.113,20,95.8533,22,94.7573,17,24.3561,17
"2025","Middle Tennessee",69.7432,109,68.2649,120,106.996,154,109.023,130,103.943,137,104.243,126,4.77994,106
"2025","Milwaukee",70.0525,93,68.925,86,109.345,104,108.114,146,102.741,112,104.637,131,3.47653,122
"2025","Minnesota",64.0115,352,62.0353,357,106.198,171,109.901,119,104.722,161,101.44,83,8.46125,90
"2025","Mississippi",69.3262,131,67.5991,161,111.149,79,116.088,44,94.4751,14,93.0293,10,23.0584,21
